总是去逃避 d+v+v
第6个 m+q
夺刀过程 v+n
度低 n+a
应该 v
三次 m+q
工作年 v+q
让重回 v+d+v
哭泣声不时传来 n+d+v
居住地 n
一组 m+q
笔者从事 n+v
也许还晒 d+d+v
当然也有 d+d+v
视频 n
检方进行 n+v
现行法律条件 b+n+n
不太好 d+d+a
拒绝产生 v+v
事发袖手旁观 v+i
日媒公布 j+v
无法联系 v+v
一个因素 m+n
对方 n
一个标尺 m+n
一个木栅栏门 m+n
暴力角度 n+n
不呼救 d+v
检方指控 n+v
道德缺席 n+v
早已破败不堪 d+i
陈世峰送 nh+v
刘鑫出去 nh+v
白天曾拿 nt+d+v
仅代表 d+v
要让 v+v
原因 n
时候要认怂 n+v+v
被告人两项 n+m+q
被害人 n
江秋莲曾说 nh+d+v
杀人过程 v+n
生活很照顾 v+d+v
行踪没有 n+v
终于说 d+v
就判 d+v
卖掉房子 v+n
杀一案 v+m+n
预先准备 d+v
一直追问 d+v
陈世峰判处 nh+v
主动接到 a+v
重新做人 d+v
记者找到 n+v
准备换 v+v
也依然获得 d+d+v
应该会有 v+v+v
第一时间 m+n
江歌打工 n+v
杀人犯陈世峰 n+nh
能做 v+v
会出席 v+v
发威胁 v+v
非常明确 d+a
事发公寓 v+n
江歌想 n+v
刘鑫男朋 nh+n
无法弥补 v+v
刘鑫搬 nh+v
误导认识 v+v
警察搜查 n+v
面试准备 v+v
刀具替换 n+v
供述中 v+nd
再一次 d+m+q
也许逃 d+v
检方 n
我国还规定 n+d+v
控辩 v+v
父母 n
公众号 n+n
里面传来 nd+v
见面犯罪嫌疑人 v+v+n
日本当地 ns+nl
日本语言学校 ns+n+n
天际线 n+n
进一步尸检 d+v
暂未发现 d+d+v
是否为 v+v
反正事实上 d+i
遭受致 v+v
后脚 nd+n
审判之后 v+nd
4.检方 m+n
不要开门 d+v
中国公民 ns+n
关键证人 n+n
9.7厘米 m+q
都刻 d+v
刑事科学研究院 b+n+n
江歌告诉 n+v
不要单独 d+d
众多留学生 m+n
江秋莲还表示 nh+d+v
忘恩负义行为 i+n
案件情况 n+n
判刑前 v+nd
日本中国 ns+ns
舆论发声 n+v
也应该看到 d+v+v
。逝者安息 n+v
必有 d+v
至医院 v+n
没有锁 d+v
事实没有 n+v
不同出口 a+v
朴素正义感 a+n
走廊里 n+nd
唯一母亲 b+n
紧握双手 v+n
一个全黑 m+d+a
杀害人才 v+n
之前追求 nd+v
不得违反 v+v
一个感叹号 m+n
实在不能 d+d+v
不出 d+v
刺右眼 v+n
1991年1月 nt+nt
江母开展 n+v
受到损害 v+v
无力躲闪 v+v
刘鑫躲躲闪闪 nh+v
刘鑫觉得 nh+v
不少舆论 m+n
另有 d+v
尚未达 d+v
出示证据 v+n
单身妈妈 n+n
多来到 d+v
接警报告 v+n
情绪反复反转 n+d+v
长年跟踪 d+v
司法精英 n+n
检方告诉 n+v
不要忘记 d+v
听闻 v+v
杀人特定信息 v+b+n
人心世道 n+n
3楼 m+n
愤怒情绪 a+n
我家地址 n+n
公寓楼门口 n+nl
当时去 nt+v
并不知道 d+d+v
法庭之外 n+nd
被告否认 n+v
初次见面 d+v
适当补偿 a+v
无法来表达 v+v+v
否认杀人罪 v+v+n
陈身材 nh+n
希望江歌顶住 v+nh+v
多面 a+n
陈述环节 v+n
3.建议 m+v
室友前 n+nd
男性理论 n+n
江歌指纹 n+n
喝酒壮胆 v+n
一向懂事 d+a
江秋莲前往 nh+v
水果刀照片 n+n
会杀人 v+v
江歌公寓 n+n
一系列 m+q
能否描述下 v+v+nd
刘鑫刚刚下班 nh+d+v
许多人 m+n
微信名 n+n
很清楚 d+a
检方继续 n+v
将来开 nt+v
去刺 v+v
应该寻求 v+v
却不知道 d+d+v
并产生 d+v
就在于 d+v
刘鑫反复强调 nh+d+v
人生完 n+v
评论中 v+nd
都进 d+v
受害者去求 n+v+v
等待一会儿 v+m
一直紧紧盯 d+d+v
上海市政府 ns+n
诉讼案件 v+n
离境前 v+nd
似乎更胖 d+d+a
反过来给杀 d+v+v
有也有 v+d+v
法院决定 n+n
江歌说 nh+v
江歌爱 nh+v
外出打工 v+v
检察机关 b+n
再次发言 d+v
警察没开门 n+d+v
可办理 v+v
巷子里 n+nd
电车奔跑 n+v
进一步核实 d+v
后半场庭审 n+v
聊男友 v+n
案发过程 v+n
旁听者表示 n+v
一个独生子 m+n
1可以分成 m+v+v
一眼 m+q
几乎一边倒 d+v
不一样 d+a
父亲车牌号 n+n
曾经看到 d+v
可以逼 v+v
头更低 n+d+a
宣读起诉书 v+n
凶器为 n+v
江歌倒下 n+v
回来 v
遗属谴责 n+v
12月初 nt+nd
又见证 d+v
才看到 d+v
不正当 d+a
15陈世峰 m+nh
父亲陈兴 n+nh
公寓2楼 n+m+n
有出来 v+v
旁听席留学生 n+n
陷入道德困境 v+n+n
2016年11月2日 nt+nt+nt
不至于死 d+v
1小时 m+n
接受 v
法医下午陈述 n+nt+v
瞬时大量出血 nt+m+v
开始自发帮助 v+d+v
没有用 d+v
肢体冲突 n+v
没有作为 v+v
并不要求 d+d+v
面对一个风险 v+m+n
几张 m+q
救济措施 v+n
法律只是作 n+d+v
江秋莲叹 nh+v
江歌案审判7疑点 n+v+n
还应 d+v
江歌案庭审第5日 n+v+n
④江歌 m+n
证据确定 n+v
庭审上时 v+v+n
一个超市 m+n
职工房 n+n
自由裁量 a+n
情节严重 n+a
到底没有 d+v
作出自愿补偿 v+v+v
依法享有 d+v
刘鑫故意反锁 nh+d+v
舆论漩涡 n+n
只能揭示 v+v
尸检报告 j+n
量刑标准 v+n
车站等 n+v
随机伤 d+v
今年11月29日 nt+nt+nt
又恨 d+v
一个名字 m+n
反思法律 v+n
江歌先刺 n+d+v
衣物背包 n+n
宋看看 nt+v
形成 v
侵权人直接给予 v+a+v
退庭时 v+n
随意左右 a+v
立刻跑 d+v
女生刘鑫 n+nh
不一致 d+a
来访人数 v+n
尴尬之中 a+nd
刀刃埋 n+v
日前前往 nt+v
到江歌家 v+n
便会远离 d+v+v
更不应 d+d+v
挫折中 n+nd
三种 m+q
发以来 v+nd
2时20分 nt+nt
去联络 v+v
需要明白 v+v
更不可 d+v
著名短篇 a+n
6点 m+q
2014年开始交往 nt+v+v
时候非常快 n+d+a
凶手犯案 n+v
前5 nd+m
判处死刑 v+n
无责责任编辑 v+n+n
一般要求 a+v
后面九刀 nd+n
共同表现 b+v
刘鑫表达 nh+v
好友江歌 n+nh
日本检察官 ns+n
保护管辖 v+v
禽兽者几希 n+m+q
以下简称 nd+v
一直很拼 d+d+v
坏典型 a+n
杀人 v
须承担 d+v
凶手陈世峰 n+nh
刘鑫可能没有 nh+v+v
随后致电 d+v
一直在哭泣 d+d+v
检察官确认 n+v
防卫伤以上 n+nd
今年12月 nt+nt
刘鑫只回复 nh+d+v
中野警署 j+n
新闻晨报 n+n
越来越近 d+a
曾多次施暴 d+m+v
网友一边倒 n+v
可以起诉 v+v
故意行为 b+n
陈世峰没有取得 nh+d+v
墙上斑斑血迹 nl+z+n
江歌租 nh+v
曾微信 d+v
上述犯罪行为 b+v+n
计划杀人 n+v
江歌躲闪 n+v
左身子 nd+n
学生江歌 n+n
阴阳两隔 b+m+q
四哥 m+n
超越互相伤害 v+d+v
被告人夺 n+v
。江歌母亲 v+n
没有侵权人 d+v
商量恋爱问题 v+v+n
未经允许 d+v
刘鑫哭 nh+v
日本国籍 ns+n
快刀 a+n
死刑只针对 n+d+v
江歌案庭审安排 n+v+v
恰恰发生 d+v
未来法院 nt+n
陈世峰家 nh+n
几方面 m+n
遇到偏执狂 v+n
有期徒刑可能性 i+n
网上公示 nl+v
引渡协定 v+n
到我家 v+n
需要帮助 v+v
11月15日 nt+nt
舆论固然重要 n+d+a
东京开 ns+v
青岛机场 ns+n
辩护人辩论 n+v
骂短命 v+a
江歌案刷屏 n+n
蓄意谋杀刘鑫 d+v+nh
新书出版 n+v
12日上午 nt+nt
条法律 q+n
还未开口 d+d+v
媒体采访 n+v
事发前 v+nd
频繁见 a+v
能先保护 v+d+v
目前 nt
是否已经处在 v+d+v
警方确认 n+v
结束 v
似乎胖 d+a
穿走 v+v
到五天 v+m+q
郑新雅编辑 nh+n
也可 d+v
就挂 d+v
前面说 nd+v
直接判 a+v
检方推测 n+v
陈世峰出庭 nh+v
真正应该讨论 d+v+v
直接到 a+v
真相尚未清晰 n+d+a
日本比较强调 ns+d+v
危险 a
刘鑫后面 nh+nd
左为 nd+v
一起回来 d+v
警察检察官 n+n
人生走向 n+v
法律审判 n+v
有关信息 v+n
日本电视 ns+n
女儿死 n+v
应当受 v+v
远小于 a+v
正义观之下 n+nd
从来没有想 d+d+v
一些天 m+n
警察不让 n+d+v
检方提问 n+v
入罪标准 v+n
奥姆真理 nh+n
内容海外网 n+nl+n
江歌家里 n+nl
笔者想 n+v
也必须认识 d+d+v
互联网汇聚 n+v
江歌 nh
应该及时报警 v+a+v
在于 v
陈世峰尾随 nh+v
积极意义 a+n
人性 n
24小时 m+n
可以推想而知 v+v
曾打 d+v
严惩陈世峰 v+nh
不违法 d+v
当时刘鑫看到 nt+nh+v
交待做出 v+v
陈世峰见 nh+v
社会 n
陈世峰反驳 nh+v
昨晚见到 nt+v
特别痛心 d+a
司法机关 n+n
看似爆料 v+v
被告人脸上 n+nl
450多 m+m
甚至说 d+v
认为刘鑫遭 v+nh+v
压力下 n+nd
刑法修正案 n+n
不砌 d+v
包括 v
2 m
四处张贴 d+v
目光接触 n+v
江秋莲之前 nh+nd
有所止 v+v
舆论 n
进行紧急治疗 v+a+v
杀害江歌 v+n+nh
法官 n
时不时想起 d+v
眼下无法预知 nt+v+v
最需要 d+v
随后就去 d+d+v
死刑判罚 n+v
刘鑫人 nh
培训机构 v+n
被告犯罪事实 n+v+n
最低标准 a+n
没有帮助 d+v
社会人性 n+n
中间休庭 nd+v
刘鑫都有 nh+d+v
就考上 d+v
记者发现 n+v
司法相对独立 n+d+a
好在案件 d+n
听到一声 v+m+q
当地民众 nl+n
陈世峰有 nh+v
又有 d+v
今日上午 nt+nt
日本共同社 ns+ni
第一部 m+q
女儿下场 n+n
底线要求 n+v
现在出门 nt+v
没有戴 d+v
今天真实面貌 nt+a+n
宇宙第一网红 n+m+n
一次次刷新 m+v
呵责行径 v+n
法院最终抽 n+d+v
门半开 n+m+v
江母女 nh+n
国内媒体 nl+n
就开橱 d+v
事出 n+v
犯罪分子侵害 n+v
右颈部 nd+n
有贯通 v+v
找刘鑫 v+nh
几番 m+q
包括朋友圈 v+n
即享有 d+v
案例符合 n+v
成为 v
当初不让 nt+d+v
补偿被害人家属 v+n+n
激情杀人 n+v
一个疑问 m+n
法政大学 n+n
刘鑫不安全 nh+d+a
来打 v+v
公寓还有 n+v
检方律师 n+n
区别 n
个人隐私 n+n
发布文章 v+n
一定不要 d+d
当事人刘鑫 n+nh
刑事诉讼 b+v
非常重要 d+a
遇害案再次成为 v+d+v
出面阻止 v+v
可能留下 v+v
陈世峰知道 nh+v
胆小变 a+v
目前无法行使 nt+v+v
将携 d+v
前一个 nd+m
陈世峰称作案 nh+v
3 m
又想 d+v
才对得起 d+v
检察官助理 n+n
防御性伤口 n+n
1983年公布 nt+v
可能不大 v+d+a
特定法律 b+n
媒体告知 n+v
为同一个入口 v+b+n
特别询问 d+v
说法 n
造成十分严重 v+m+a
公寓门上 n+nd
无法一一接待 v+d+v
陈世峰过失杀人 nh+d+v
应十分了解 v+m+v
曾帮助 d+v
居住期间 v+nd
检察日报 b+n
所有被害人 b+n
公道自在 a+d+v
事实总是 n+d
一年 m+q
对不起' v+n
换位思考 v+v
调解角色 v+n
即才构成 v+d+v
驻日 v+j
集体呐喊 n+v
肩膀 n
陈世峰见到 nh+v
证词主要涉及 n+d+v
许多传播案例 m+v+n
争吵 v
证据主要包括 n+d+v
陈行凶 nh+v
到一起 v+nl
比较自卑 d+a
检方称 n+v
同时满足 d+v
小组聚会 n+v
刘鑫首度面对 nh+nt+v
有规定 v+n
共同居住 d+v
江秋莲结束 nh+v
热烈讨论 a+v
刘鑫见到 nh+v
没有表达 d+v
不得违背 v+v
法院判决生效 n+v+v
收留朋友 v+n
法庭即关闭 n+d+v
聚会照 v+n
法庭上 n+nd
一直通话 d+v
江秋莲提醒 nh+v
中国刑法研究所 ns+n+n
关注点刀 n+n
大江律师 nh+n
讯问 n+v
一束 m+q
刘鑫可能出席 nh+v+v
5刘鑫 m+nh
一条 m+q
杀意江歌 v+n
都看 d+v
让反思 v+v
8厘米 m+q
要保持 v+v
一个舆论环境 m+n+n
一些情况 m+n
刘鑫责问 nh+v
刘鑫曾告诉 nh+d+v
只是说 d+v
日期间 n+nd
具体七大原因 a+j+n
人移 n+v
凶器长 n+a
当然不无道理 d+i
最起码 d+d
江歌已被害 n+d+v
不起 d+v
公寓外 n+nd
记者陈磊 n+nh
要知道 v+v
江歌损伤 n+v
此前围绕 nt+v
陈世峰曾来 nh+d+v
出格行为 v+n
人生关键时期 n+a+n
法制晚报 n+n
一些网友 m+n
刘鑫供词 nh+n
法安天下 j+n
都不去 d+d+v
作为受益者 v+n
门弹 n+v
大批媒体记者 m+n+n
民事主体 b+n
伦理困局 n+n
潜在社会族群 b+n+n
非常丢脸 d+a
-8厘米 m+q
环境下 n+nd
陈世峰行凶 nh+v
热点还少 n+d+a
提审期间 v+nd
刑事判决 b+v
同一层 b+q
上午9点 nt+nt
被告人行凶 n+v
刘鑫视频 nh+n
新浪新闻 nz+n
凶手确系 n+d+v
事态发展 n+v
法庭改 n+v
多么凶残 d+a
江歌没带 n+d+v
给江歌 v+n
要看 v+v
17时 m+n
长期住 d+v
需要实际上控制 v+d+v
检察官立即起身 n+d+v
还不能 d+d+v
让有力 v+a
江歌刘鑫 n+nh
先来了解 d+v+v
帮助应对 v+v
A谈 ws+v
完整刀具 a+n
我家门口 n+nl
被害者江歌 n+nh
发生报警 v+v
整理文字记录 v+n+n
更重 d+a
次生灾害 b+n
刘鑫家人 nh+n
当时刘鑫饱受 nt+nh+v
可能会起 v+v+v
很稳定 d+a
具有 v
可能反对 v+v
社会秩序 n+n
第二日 m+q
会持续 v+v
被害者家属 n+n
痛恨层面 v+n
没有感谢 d+v
次日11月3日 nt+nt+nt
江秋莲收集 nh+v
承认否认 v+v
刘鑫报警 nh+v
违反法律 v+n
发生正面冲突 v+n+v
平淡日子 a+n
威士忌酒 nz+n
人会失去 n+v+v
被告人衣物 n+n
当时并没有 nt+d+v
是否畅销 v+v
一边辩护 d+v
进行街头征集 v+nl+v
最后作为 nd+v
也还有 d+v
江母回复 nh+v
非常显眼 d+a
不要吵 d+v
最痛苦 d+a
整个社会 b+n
妈妈很抱歉 n+d+a
瞬间大量出血 nt+m+v
有大声争吵 v+d+v
并不背负 d+d+v
一个店 m+n
致命伤 v+v
到报箱 v+n
可能会指控 v+v+v
道义 n
公共场所相对安全 n+d+a
生活混乱 v+a
三叔昵称 j+v
江歌家中 nh+nl
未来要买 nt+v+v
后报警 nd+v
一个公道 m+a
刘鑫住 nh+v
舆论处在 n+v
普通民众 a+n
家人说 n+v
链条锁门 n+v
即刑事处罚 d+b+v
一直盯 d+v
案发当天 v+nt
后来看到 nt+v
审理必须出庭 v+d+v
卑鄙成为 a+v
经常不回 d+d+v
所作所为的确有 i+d+v
上述报道 b+n
华人志愿者 n+n
江母表示 n+v
杀人犯知道 n+v
聊天中 v+nd
直接原因 a+n
种种表现 q+v
还活 d+v
日本境内 ns+nl
12月11号 nt+m+q
不由管辖 d+v
有所提防 v+v
刀刺 n+v
江歌案态度 n+n
油腻中年 a+nt
蒋丰认为 nh+v
社会互动 n+v
损害赔偿 v+v
彭新林指出 nh+v
逼供骗供 v+v
未达 d+v
微信语音 n+n
人都有 n+d+v
网络舆论 n+n
都给 d+v
面部白净 n+a
具体分析 a+v
直接推门 a+v
不像 d+v
很快就说 d+d+v
似乎难以摆脱 d+d+v
好友刺死 n+v
澎湃新闻 v+n
就推 d+v
刘鑫就消失 nh+d+v
大约9平米 d+m+q
房子旧 n+a
去考 v+v
要求进行 v+v
报道 n
伤口来自 n+v
才想 d+v
已经定案 d+v
结果砸 d+v
学东西 v+n
江歌失去 n+v
技术路线 n+n
3分钟 m+q
刘鑫刘鑫男友 nh+nh+n
私下被害人亲属 d+n+n
部分资料 m+n
不要随便可怜 d+a+v
一篇 m+q
后埋伏 nd+v
不允许 d+v
可能会涉嫌 v+v+v
并未出场 d+v
弱势群体 n+n
12月15日 nt+nt
陈世峰首先确认 nh+d+v
凡是知道 d+v
间接方面 a+n
记者见面会 n+n
尚未实现 d+v
可以免除 v+v
进行 v
视频能看到 n+v+v
辩方将呈 n+d+v
性格没有 n+v
种感觉记者 q+n+n
曾说 d+v
②发现 m+v
恐吓罪 d+v
11处 m+q
还公布 d+v
身材高大 n+a
提出意见 v+n
至少应该谴责 d+v+v
武力威胁 n+v
具有作为 v+v
曾试 d+v
一开始 d+v
真没想到 d+d+v
将信息 d+n
也见到 d+v
能复合 v+v
2016年10月 nt+nt
曾经尾随 d+v
江歌案尚未审理 n+d+v
似乎藏 d+v
被告人无罪 n+v
非法提供 d+v
违背道德 v+n
公众事实 n+n
单亲家庭 b+n
竭力克制 d+v
没看到 d+v
没有变成 d+v
还不行 d+a
朋友要成长 n+v+v
门内 n+nd
刘鑫递给 nh+v
都知道 d+v
都在试图 d+d+v
也苦苦追索 d+d+v
内旁听 nd+v
检方请求 n+v
辩护意见 v+n
听到杀人 v+v
下午14:59辩方 nt+m+n
性别平等 n+a
还有数 d+a
日本警视厅 ns+n
刀刀致命 n+v
2017年11月2日 nt+nt+nt
刘鑫认为 nh+v
争执 v
大江洋平接受 nh+v
江歌要拿 nh+v+v
听到验尸报告 v+v+n
一些困扰 m+v
一栋 m+q
马上回复 d+v
生活报记者 n+n
没有回答 d+v
14处 m+q
不要成为 d+v
近日新京报采访 nt+nz+v
江歌称 n+v
新闻看 n+v
公序良俗 n+n
不同程度 a+n
下午庭审 nt+v
时间点见面 n+v
刘鑫行为 nh+n
诗人读 n+v
江歌是否有 n+v+v
法学教授 n+n
也从未记住 d+d+v
目前没有提起 nt+d+v
6 m
手掌触地 n+n
重要证人 a+n
十二点 m+q
违法行为 v+n
02陈律师 m+nh+n
去了解 v+v
有编者注 v+n+v
江秋莲转向 nh+v
陈述描述 v+v
活动会影响 v+v+v
女性者 n+k
推动感恩 v+v
网络上 n+nd
头发打 n+v
起诉书中 n+nd
时解释 n+v
下图 nd+n
照片中 n+nd
我国应该尊重 n+v+v
也该让 d+v+v
日本福冈 ns+ns
直到发 v+v
还得 d+v
心理状态 n+n
陈世峰捂住 nh+v
首日庭审记录 nt+v+v
伤口很深 n+d+a
要遣返 v+v
大规模人性 b+n
叫喊声 v+n
刘鑫还提到 nh+d+v
国际条约 n+n
报江歌案 ns+n
刘鑫否认 nh+v
终究陷入 d+v
主观恶性 a+n
作者为 n+v
可依法追究 v+d+v
人们掬泪 n+v
媒体释疑江 n+ns
最后10 nd+m
尸体表面 n+n
来时 v+n
刘鑫微信 nh+n
误伤后 v+nd
必须接受 d+v
陈世峰辩称 nh+v
日子里 n+nd
江秋莲带 nh+v
想彻底杀死 v+a+v
陈世峰使用 nh+v
江秋莲赴 nh+v
可能吵嘴 v+v
死刑有期徒刑 n+i
刘鑫回应称 nh+v+v
刘鑫单独在家 nh+d+v
头颈部中 n+nd
遇害没关系 v+i
进一步升级 d+v
动机比较大 n+d+a
女性陪审员 n+n
也抱 d+v
说实话不知道 i+d+v
即具有 v+v
供养上 v+v
1968年1979年 nt+nt
刘鑫谴责 nh+v
中国有 ns+v
朴素直观 a+a
来留宿 v+v
自称站 v+v
当天陈世峰 nt+nh
受害人请求 n+v
暂时没有 d+v
逃离现场 v+nl
发自拍 v+n
引渡合作 v+v
三站 m+q
总是翻转 d+v
属地管辖权 n+n
从事研究 v+v
精神损害 n+v
就去 d+v
恩重如山之后 i+nd
2017年8月 nt+nt
民法上 n+nd
去预测 v+v
第404天 m+q
⑤律师 m+n
刘鑫先进屋 nh+n
刘鑫才到 nh+d+v
司法权关系 n+v
纷纷表示 d+v
2016年年底 nt+nt
